epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,46.7167,1.50022,1.35768,0.98314,0.80976,0.58128,0.68056,0.33306,1.67603,1.34599,0.93815,0.000990365,0.000990365,0.000990365
43,47.77,1.42595,1.19762,0.97036,0.80976,0.58128,0.68056,0.33306,1.67603,1.34599,0.93815,0.000973861,0.000973861,0.000973861
44,48.8236,1.80381,1.59021,1.0984,0.80976,0.58128,0.68056,0.33306,1.67603,1.34599,0.93815,0.000957358,0.000957358,0.000957358
45,49.8994,1.58018,1.33913,0.98396,0.80976,0.58128,0.68056,0.33306,1.67603,1.34599,0.93815,0.000940855,0.000940855,0.000940855
46,50.9606,1.88871,1.56948,1.01442,0.76805,0.61905,0.66078,0.30191,1.74094,1.36222,0.95894,0.000924352,0.000924352,0.000924352
47,52.0343,1.7187,1.47178,1.01164,0.76805,0.61905,0.66078,0.30191,1.74094,1.36222,0.95894,0.000907848,0.000907848,0.000907848
48,53.0728,1.61638,1.3078,0.96387,0.76805,0.61905,0.66078,0.30191,1.74094,1.36222,0.95894,0.000891345,0.000891345,0.000891345
49,54.3058,1.65758,1.5015,1.01296,0.76805,0.61905,0.66078,0.30191,1.74094,1.36222,0.95894,0.000874842,0.000874842,0.000874842
50,55.3687,1.47608,1.20736,0.98707,0.8038,0.59665,0.68585,0.30837,1.72049,1.32977,0.9633,0.000858338,0.000858338,0.000858338
51,56.4257,1.67975,1.5332,0.99814,0.8038,0.59665,0.68585,0.30837,1.72049,1.32977,0.9633,0.000841835,0.000841835,0.000841835
52,57.4834,1.58862,1.30807,0.94743,0.8038,0.59665,0.68585,0.30837,1.72049,1.32977,0.9633,0.000825332,0.000825332,0.000825332
53,58.5514,1.56898,1.42244,0.99195,0.8038,0.59665,0.68585,0.30837,1.72049,1.32977,0.9633,0.000808828,0.000808828,0.000808828
54,59.6114,1.46682,1.15555,0.98544,0.78102,0.59669,0.7076,0.34044,1.6311,1.30391,0.94592,0.000792325,0.000792325,0.000792325
55,60.6892,1.67097,1.33293,0.9587,0.78102,0.59669,0.7076,0.34044,1.6311,1.30391,0.94592,0.000775822,0.000775822,0.000775822
56,61.7598,1.49044,1.25786,0.99092,0.78102,0.59669,0.7076,0.34044,1.6311,1.30391,0.94592,0.000759318,0.000759318,0.000759318
57,62.8194,1.46525,1.29541,0.98047,0.78102,0.59669,0.7076,0.34044,1.6311,1.30391,0.94592,0.000742815,0.000742815,0.000742815
58,63.8882,1.4898,1.20424,0.94248,0.75694,0.64074,0.74404,0.37841,1.55141,1.28245,0.93012,0.000726312,0.000726312,0.000726312
59,65.0224,1.54932,1.31089,0.99872,0.75694,0.64074,0.74404,0.37841,1.55141,1.28245,0.93012,0.000709809,0.000709809,0.000709809
60,66.2076,1.6103,1.32134,0.99703,0.75694,0.64074,0.74404,0.37841,1.55141,1.28245,0.93012,0.000693305,0.000693305,0.000693305
61,67.283,1.61463,1.25124,0.96905,0.75694,0.64074,0.74404,0.37841,1.55141,1.28245,0.93012,0.000676802,0.000676802,0.000676802
62,68.3684,1.51873,1.29506,0.969,0.69561,0.64776,0.71511,0.36699,1.56231,1.26211,0.93054,0.000660299,0.000660299,0.000660299
63,69.4271,1.51948,1.25749,0.97234,0.69561,0.64776,0.71511,0.36699,1.56231,1.26211,0.93054,0.000643795,0.000643795,0.000643795
64,70.4909,1.58804,1.32017,0.97452,0.69561,0.64776,0.71511,0.36699,1.56231,1.26211,0.93054,0.000627292,0.000627292,0.000627292
65,71.5498,1.43606,1.2029,0.95593,0.69561,0.64776,0.71511,0.36699,1.56231,1.26211,0.93054,0.000610789,0.000610789,0.000610789
66,72.6552,1.66228,1.32586,1.00294,0.73066,0.65778,0.71847,0.36112,1.58413,1.22652,0.92833,0.000594286,0.000594286,0.000594286
67,73.6982,1.32092,1.11339,0.95062,0.73066,0.65778,0.71847,0.36112,1.58413,1.22652,0.92833,0.000577782,0.000577782,0.000577782
68,74.7444,1.36667,1.15976,0.95088,0.73066,0.65778,0.71847,0.36112,1.58413,1.22652,0.92833,0.000561279,0.000561279,0.000561279
69,75.8459,1.55722,1.17431,0.9285,0.73066,0.65778,0.71847,0.36112,1.58413,1.22652,0.92833,0.000544776,0.000544776,0.000544776
70,76.936,1.54133,1.16673,0.96024,0.68665,0.65029,0.71505,0.37734,1.56251,1.20807,0.92381,0.000528272,0.000528272,0.000528272
71,77.9995,1.39207,1.19205,0.93943,0.68665,0.65029,0.71505,0.37734,1.56251,1.20807,0.92381,0.000511769,0.000511769,0.000511769
72,79.0506,1.41664,1.22478,0.94267,0.68665,0.65029,0.71505,0.37734,1.56251,1.20807,0.92381,0.000495266,0.000495266,0.000495266
73,80.1033,1.51256,1.25161,0.97408,0.68665,0.65029,0.71505,0.37734,1.56251,1.20807,0.92381,0.000478762,0.000478762,0.000478762
74,81.2831,1.4382,1.19686,0.96923,0.7337,0.67748,0.72773,0.39689,1.52852,1.19813,0.91853,0.000462259,0.000462259,0.000462259
75,82.3999,1.417,1.16641,0.94769,0.7337,0.67748,0.72773,0.39689,1.52852,1.19813,0.91853,0.000445756,0.000445756,0.000445756
76,83.5086,1.46498,1.15998,0.92545,0.7337,0.67748,0.72773,0.39689,1.52852,1.19813,0.91853,0.000429253,0.000429253,0.000429253
77,84.5899,1.43147,1.20264,0.94769,0.7337,0.67748,0.72773,0.39689,1.52852,1.19813,0.91853,0.000412749,0.000412749,0.000412749
78,85.6708,1.34942,1.1335,0.96264,0.74838,0.69958,0.7309,0.39688,1.51495,1.18599,0.91329,0.000396246,0.000396246,0.000396246
79,86.7555,1.4815,1.24784,0.95552,0.74838,0.69958,0.7309,0.39688,1.51495,1.18599,0.91329,0.000379743,0.000379743,0.000379743
80,87.8316,1.37135,1.11071,0.92859,0.74838,0.69958,0.7309,0.39688,1.51495,1.18599,0.91329,0.000363239,0.000363239,0.000363239
81,88.9129,1.49925,1.13872,0.92799,0.74838,0.69958,0.7309,0.39688,1.51495,1.18599,0.91329,0.000346736,0.000346736,0.000346736
82,90.0148,1.36668,1.10089,0.93513,0.77479,0.71919,0.75682,0.39445,1.52894,1.1806,0.9175,0.000330233,0.000330233,0.000330233
83,91.1312,1.49396,1.15156,0.90016,0.77479,0.71919,0.75682,0.39445,1.52894,1.1806,0.9175,0.000313729,0.000313729,0.000313729
84,92.2386,1.39359,1.07719,0.93179,0.77479,0.71919,0.75682,0.39445,1.52894,1.1806,0.9175,0.000297226,0.000297226,0.000297226
85,93.3004,1.46769,1.16878,0.95977,0.77479,0.71919,0.75682,0.39445,1.52894,1.1806,0.9175,0.000280723,0.000280723,0.000280723
86,94.542,1.31485,1.06249,0.93271,0.706,0.69958,0.74288,0.3893,1.5463,1.15893,0.91958,0.00026422,0.00026422,0.00026422
87,95.6241,1.47705,1.1156,0.91499,0.706,0.69958,0.74288,0.3893,1.5463,1.15893,0.91958,0.000247716,0.000247716,0.000247716
88,96.6955,1.4487,1.17061,0.9722,0.706,0.69958,0.74288,0.3893,1.5463,1.15893,0.91958,0.000231213,0.000231213,0.000231213
89,97.7784,1.35554,1.13271,0.91546,0.706,0.69958,0.74288,0.3893,1.5463,1.15893,0.91958,0.00021471,0.00021471,0.00021471
90,98.8622,1.27768,1.09592,0.96064,0.71937,0.71919,0.75948,0.38673,1.56737,1.14471,0.92208,0.000198206,0.000198206,0.000198206
91,104.853,1.37305,1.26861,0.97809,0.71937,0.71919,0.75948,0.38673,1.56737,1.14471,0.92208,0.000181703,0.000181703,0.000181703
92,105.907,1.34818,1.32575,0.92709,0.71937,0.71919,0.75948,0.38673,1.56737,1.14471,0.92208,0.0001652,0.0001652,0.0001652
93,106.931,1.43956,1.41721,0.9474,0.71937,0.71919,0.75948,0.38673,1.56737,1.14471,0.92208,0.000148696,0.000148696,0.000148696
94,107.971,1.27345,1.13736,0.92074,0.7311,0.72584,0.7596,0.38655,1.56725,1.15795,0.92084,0.000132193,0.000132193,0.000132193
95,109.031,1.35578,1.17942,0.93668,0.7311,0.72584,0.7596,0.38655,1.56725,1.15795,0.92084,0.00011569,0.00011569,0.00011569
96,110.1,1.40016,1.31078,0.93715,0.7311,0.72584,0.7596,0.38655,1.56725,1.15795,0.92084,9.91865e-05,9.91865e-05,9.91865e-05
97,111.166,1.44284,1.30895,0.9772,0.7311,0.72584,0.7596,0.38655,1.56725,1.15795,0.92084,8.26832e-05,8.26832e-05,8.26832e-05
98,112.22,1.3211,1.33804,0.93069,0.77074,0.7528,0.76951,0.38167,1.56449,1.20968,0.92091,6.61799e-05,6.61799e-05,6.61799e-05
99,113.373,1.36899,1.36903,0.95672,0.77074,0.7528,0.76951,0.38167,1.56449,1.20968,0.92091,4.96766e-05,4.96766e-05,4.96766e-05
100,114.418,1.43501,1.31675,0.92462,0.77074,0.7528,0.76951,0.38167,1.56449,1.20968,0.92091,3.31733e-05,3.31733e-05,3.31733e-05
